GAP인증번호,인증기관,개인_단체 구분명,유효기간 시작일,유효기간 종료일,품목,주소,등록 농가수,등록 필지수,재배면적,생산계획량,지정일자
1018127,농협경제지주(주)식품R&D연구소,단체,2021-09-30,2023-09-29,사과,경기도 여주시,16,40,181097.9,335.78,2021-09-30
1018126,(주)에버그린농우회,개인,2021-09-30,2023-09-29,딸기,경상남도 산청군,1,2,2617,8,2021-09-30
1018125,주식회사 푸름인증원,단체,2021-09-29,2023-09-28,호두,경상북도 안동시,2,18,37016,74,2021-09-29
1018124,(사)한솔농림수산식품인증센터,개인,2021-09-30,2024-09-29,인삼(기타),제주특별자치도 서귀포시,1,2,2795,15.4,2021-09-30
1018123,주식회사 농식품인증관리원,개인,2021-09-29,2023-09-28,표고버섯,충청북도 괴산군,1,1,892,8.9,2021-09-29
1018122,주식회사 농식품인증관리원,개인,2021-09-29,2023-09-28,표고버섯,충청북도 괴산군,1,2,1322,13.2,2021-09-29
1018121,주식회사 농식품인증관리원,개인,2021-09-29,2023-09-28,표고버섯,충청북도 괴산군,1,1,1400,14,2021-09-29
1018120,주식회사 농식품인증관리원,개인,2021-09-29,2023-09-28,표고버섯,충청북도 괴산군,1,1,4150,41.5,2021-09-29
1018119,주식회사 농식품인증관리원,개인,2021-09-29,2023-09-28,표고버섯,충청북도 괴산군,1,3,1986,19.8,2021-09-29
1018118,경상국립대학교 산학협력단,개인,2021-09-29,2023-09-28,딸기,경상남도 산청군,1,1,2860,7,2021-09-29
1018117,주식회사 성농,개인,2021-09-29,2024-09-28,인삼(기타),전라북도 남원시,1,2,3678,3,2021-09-29
1018116,한국농식품분석연구소 주식회사,단체,2021-09-29,2023-09-28,호박고구마,충청남도 당진시,92,295,533850.5,808.98,2021-09-29
1018115,주식회사 푸름인증원,개인,2021-09-29,2023-09-28,방울토마토,충청남도 부여군,1,3,7831,31.3,2021-09-29
1018114,강원대학교 산학협력단,개인,2021-09-29,2023-09-28,사과,강원도 인제군,1,2,10000,15,2021-09-29
1018113,주식회사 예농,개인,2021-09-28,2023-09-27,단감,경상남도 의령군,1,2,13604,25,2021-09-28
1018112,주식회사 온누리친환경,개인,2021-09-28,2023-09-27,상추,경기도 남양주시,1,70,158333,735,2021-09-28
1018111,주식회사 온누리친환경,개인,2021-09-28,2023-09-27,상추,경기도 남양주시,1,18,20661,25,2021-09-28
1018110,주식회사 온누리친환경,개인,2021-09-28,2023-09-27,부추,경기도 남양주시,1,4,13242,20,2021-09-28
1018109,주식회사 온누리친환경,개인,2021-09-28,2023-09-27,상추,경기도 남양주시,1,30,25384,30,2021-09-28
1018108,주식회사 온누리친환경,개인,2021-09-28,2023-09-27,부추,경기도 남양주시,1,16,56888,48,2021-09-28
1018107,주식회사 온누리친환경,개인,2021-09-28,2023-09-27,상추,경기도 남양주시,1,39,28326.21,60,2021-09-28
1018106,주식회사 온누리친환경,개인,2021-09-28,2023-09-27,상추,경기도 남양주시,1,35,17785,55,2021-09-28
1018105,주식회사 온누리친환경,개인,2021-09-28,2023-09-27,상추,경기도 남양주시,1,10,17046,28,2021-09-28
1018104,주식회사 온누리친환경,개인,2021-09-28,2023-09-27,호박잎,경기도 남양주시,1,6,10581,43,2021-09-28
1018103,주식회사 온누리친환경,개인,2021-09-28,2023-09-27,상추,경기도 남양주시,1,12,16610,41.5,2021-09-28
1018102,주식회사 온누리친환경,개인,2021-09-28,2023-09-27,취나물,경기도 남양주시,1,3,3213,2,2021-09-28
1018101,주식회사 온누리친환경,개인,2021-09-28,2023-09-27,아욱,경기도 남양주시,1,7,9030,30,2021-09-28
1018100,주식회사 온누리친환경,개인,2021-09-28,2023-09-27,부추,경기도 남양주시,1,15,25269,4.5,2021-09-28
1018099,주식회사 온누리친환경,개인,2021-09-28,2023-09-27,부추,경기도 남양주시,1,20,16112,11,2021-09-28
1018098,주식회사 경기농업인증센터,법인,2021-09-28,2023-09-27,새싹삼,경기도 평택시,1,1,196,1.2,2021-09-28
1018097,주식회사 농식품인증관리원,개인,2021-09-28,2023-09-27,표고버섯,충청북도 괴산군,1,2,2114,21.2,2021-09-28
1018096,주식회사 농식품인증관리원,개인,2021-09-28,2023-09-27,표고버섯,충청북도 괴산군,1,2,2526,25.3,2021-09-28
1018095,주식회사 농식품인증관리원,개인,2021-09-28,2023-09-27,표고버섯,충청북도 괴산군,1,1,800,8,2021-09-28
1018094,주식회사 농식품인증관리원,개인,2021-09-28,2023-09-27,표고버섯,충청북도 괴산군,1,1,1980,19.8,2021-09-28
1018093,주식회사 농식품인증관리원,개인,2021-09-28,2023-09-27,표고버섯,충청북도 괴산군,1,2,2936,29.3,2021-09-28
1018092,주식회사 농식품인증관리원,개인,2021-09-28,2023-09-27,아욱,경기도 광주시,1,28,5548,20.3,2021-09-28
1018091,주식회사 농식품인증관리원,개인,2021-09-28,2023-09-27,아욱,경기도 광주시,1,4,10982,56.55,2021-09-28
1018090,주식회사 농식품인증관리원,개인,2021-09-28,2023-09-27,아욱,경기도 광주시,1,8,11566,59.56,2021-09-28
1018089,주식회사 농식품인증관리원,개인,2021-09-28,2023-09-27,아욱,경기도 광주시,1,6,11498,66.27,2021-09-28
1018088,주식회사 농식품인증관리원,개인,2021-09-28,2023-09-27,토마토,경기도 광주시,1,8,2924,13.65,2021-09-28
1018087,주식회사 농식품인증관리원,개인,2021-09-28,2023-09-27,아욱,경기도 광주시,1,6,7752,37.59,2021-09-28
1018086,주식회사 농식품인증관리원,단체,2021-09-28,2023-09-27,토마토,인천광역시 강화군,13,23,38876,213,2021-09-28
1018085,(사)한솔농림수산식품인증센터,단체,2021-09-28,2023-09-27,감귤,제주특별자치도 서귀포시,99,307,688262.5,2357,2021-09-28
1018084,(주)한국지에이피인증원,개인,2021-09-24,2023-09-23,단감,경상남도 창원시 마산회원구,1,4,11754,6,2021-09-24
1018083,(재)금산인삼약초산업진흥원,개인,2021-09-28,2023-09-27,깻잎,충청남도 금산군,1,3,2000,4,2021-09-28
1018082,(재)금산인삼약초산업진흥원,개인,2021-09-28,2023-09-27,지황,충청남도 금산군,1,2,3305,2,2021-09-28
1018081,(주)에버그린농우회,개인,2021-09-28,2023-09-27,사과,경상북도 문경시,1,4,8000,8.6,2021-09-28
1018080,주식회사 금강인증센터,개인,2021-09-27,2023-09-26,홍고추,충청남도 논산시,1,2,5938,1.4,2021-09-27
1018079,주식회사 금강인증센터,개인,2021-09-27,2023-09-26,대파,대전광역시 서구,1,30,9293,90.1,2021-09-27
1018078,경상국립대학교 산학협력단,개인,2021-09-27,2023-09-26,딸기,경상남도 산청군,1,3,5314,5,2021-09-27
1018077,(주)인증포럼,개인,2021-09-27,2023-09-26,배,경기도 광주시,1,1,2635,13,2021-09-27
1018076,주식회사 푸름인증원,단체,2021-09-23,2023-09-22,지황,경상북도 안동시,68,106,156544,156.9,2021-09-23
1018075,(사)한솔농림수산식품인증센터,개인,2021-09-27,2023-09-26,감귤,제주특별자치도 서귀포시,1,16,45042,166,2021-09-27
1018074,농업회사법인 주식회사 농품,개인,2021-09-27,2024-09-26,수삼,경기도 여주시,1,14,8297,8.05,2021-09-27
1018073,농업회사법인 주식회사 농품,개인,2021-09-27,2024-09-26,수삼,경기도 화성시,1,16,10664,10.29,2021-09-27
1018072,농업회사법인 주식회사 농품,개인,2021-09-27,2023-09-26,상추,전라북도 김제시,1,3,8910,24.12,2021-09-27
1018071,농업회사법인 주식회사 농품,법인,2021-09-27,2023-09-26,고구마,전라북도 김제시,1,109,291248.4,443.26,2021-09-27
1018070,주식회사 푸름인증원,단체,2021-09-27,2023-09-26,벼,충청남도 당진시,56,675,2091629,2092.2,2021-09-27
1018069,아이센(주),법인,2021-09-27,2023-09-26,고구마,경상남도 밀양시,1,4,5709,16,2021-09-27
1018068,경상국립대학교 산학협력단,개인,2021-09-27,2023-09-26,곶감,경상남도 산청군,1,4,6183,2,2021-09-27
1018067,아이센(주),개인,2021-09-27,2023-09-26,새싹보리,경상북도 경주시,1,9,1760,0.13,2021-09-27
1018066,아이센(주),개인,2021-09-27,2023-09-26,대파,경상북도 경주시,1,17,2070,6.18,2021-09-27
1018065,아이센(주),개인,2021-09-27,2023-09-26,콩,경상북도 경주시,1,5,2025,2.74,2021-09-27
1018064,아이센(주),개인,2021-09-27,2023-09-26,포도,경상북도 경주시,1,5,1552,2.15,2021-09-27
1018063,아이센(주),개인,2021-09-27,2023-09-26,단감,경상북도 경주시,1,3,2923,4.26,2021-09-27
1018062,주식회사 푸름인증원,개인,2021-09-24,2023-09-23,사과,경상북도 안동시,1,5,13296,21.5,2021-09-24
1018061,주식회사 푸름인증원,개인,2021-09-24,2023-09-23,사과,경상북도 안동시,1,13,61890,174.9,2021-09-24
