GAP인증번호,인증기관,개인/단체 구분명,유효기간 시작일,유효기간 종료일,품목,주소,등록 농가수,등록 필지수,재배면적,생산계획량,지정일자
1024094,주식회사 예농,개인,2024-06-10,2026-06-09,돌배,경상남도 합천군,1,1,8670,1,2024-06-10
1024093,플럼코트맘 주식회사,개인,2024-06-10,2026-06-09,고구마,전라남도 무안군,1,16,20520,56.05,2024-06-10
1024092,플럼코트맘 주식회사,개인,2024-06-10,2026-06-09,고구마,전라남도 무안군,1,3,15496,38.43,2024-06-10
1024091,플럼코트맘 주식회사,개인,2024-06-10,2026-06-09,고구마,전라남도 무안군,1,4,9306,25.05,2024-06-10
1024090,플럼코트맘 주식회사,개인,2024-06-10,2026-06-09,고구마,전라남도 무안군,1,1,9840,24.4,2024-06-10
1024089,플럼코트맘 주식회사,개인,2024-06-10,2026-06-09,표고버섯,전라남도 영광군,1,7,7200,140,2024-06-10
1024088,플럼코트맘 주식회사,개인,2024-06-10,2026-06-09,배,전라남도 영암군,1,1,2715,5.93,2024-06-10
1024087,플럼코트맘 주식회사,개인,2024-06-10,2026-06-09,배,전라남도 영암군,1,4,7224,15.78,2024-06-10
1024086,플럼코트맘 주식회사,개인,2024-06-10,2026-06-09,참송이,전라남도 담양군,1,1,165,1.8,2024-06-10
1024085,유한회사 빛그린인증원,단체,2024-06-10,2026-06-09,메론,전라남도 곡성군,78,195,297514,863,2024-06-10
1024084,(사)한솔농림수산식품인증센터,개인,2024-06-10,2026-06-09,감귤,제주특별자치도 제주시,1,6,21845,39.2,2024-06-10
1024083,(사)한솔농림수산식품인증센터,개인,2024-06-10,2026-06-09,감귤,제주특별자치도 제주시,1,1,2637,1.5,2024-06-10
1024082,(재)금산인삼약초산업진흥원,개인,2024-06-10,2026-06-09,깻잎,충청남도 금산군,1,6,6448,13,2024-06-10
1024081,플럼코트맘 주식회사,단체,2024-06-10,2026-06-09,상추,전라남도 담양군,2,18,10520,43.32,2024-06-10
1024080,(주)농산물품질인증평가원,개인,2024-06-10,2026-06-09,복숭아,경상북도 영천시,1,1,2806,5.6,2024-06-10
1024079,주식회사 금강인증센터,개인,2024-05-31,2026-05-30,블루베리,대전광역시 서구,1,6,2300,2.9,2024-05-31
1024077,주식회사 금강인증센터,개인,2024-05-31,2026-05-30,표고버섯,충청남도 논산시,1,1,5280,6,2024-05-31
1024076,(주)에스에이피분석평가연구소,개인,2024-06-07,2026-06-06,블루베리,대전광역시 유성구,1,1,1600,1.2,2024-06-07
1024075,(주)에스에이피분석평가연구소,단체,2024-06-07,2026-06-06,단감,경상남도 밀양시,2,4,36970,65,2024-06-07
1024074,농업회사법인 주식회사 농품,개인,2024-06-07,2026-06-06,오이,전북특별자치도 진안군,1,1,2747,19.77,2024-06-07
1024073,농업회사법인 주식회사 농품,개인,2024-06-07,2026-06-06,목이버섯,전북특별자치도 김제시,1,1,462,1.71,2024-06-07
1024072,농업회사법인 주식회사 농품,개인,2024-06-07,2026-06-06,상추,전북특별자치도 김제시,1,2,5800,15.66,2024-06-07
1024070,농업회사법인 주식회사 농품,개인,2024-06-07,2026-06-06,대추방울,전북특별자치도 김제시,1,4,2970,23.76,2024-06-07
1024069,농업회사법인 주식회사 농품,개인,2024-06-07,2026-06-06,블루베리,전북특별자치도 전주시 덕진구,1,3,4260,2.38,2024-06-07
1024068,경상국립대학교 산학협력단,개인,2024-06-07,2026-06-06,떫은감,경상남도 산청군,1,7,41000,35.52,2024-06-07
1024067,주식회사 푸름인증원,단체,2024-06-05,2026-06-04,부추,경상남도 고성군,3,20,31411,62.9,2024-06-05
1024066,경상국립대학교 산학협력단,개인,2024-06-05,2026-06-04,떫은감,경상남도 사천시,1,6,18067,18,2024-06-05
1024065,(주)티에스피인증관리원,개인,2024-06-05,2026-06-04,양배추,대전광역시 중구,1,21,11200,39.13,2024-06-05
1024064,(주)티에스피인증관리원,개인,2024-06-05,2026-06-04,방울토마토,충청남도 논산시,1,6,23760,69.7,2024-06-05
1024063,한국농식품분석연구소 주식회사,개인,2024-06-05,2026-06-04,포도,충청북도 영동군,1,2,3480,16,2024-06-05
1024062,(재)금산인삼약초산업진흥원,개인,2024-06-05,2027-06-03,수삼,충청남도 금산군,1,1,4364,2.48,2024-06-05
1024061,(재)금산인삼약초산업진흥원,개인,2024-06-05,2027-06-03,수삼,충청남도 금산군,1,1,2917,1.66,2024-06-05
1024060,(재)금산인삼약초산업진흥원,개인,2024-06-05,2027-06-03,수삼,충청남도 금산군,1,3,4141,2.36,2024-06-05
1024059,주식회사 농식품인증관리원,개인,2024-06-04,2026-06-03,복숭아,경기도 파주시,1,1,3650,5,2024-06-04
1024058,(주)온누리지에이피,단체,2024-06-04,2026-06-03,복숭아,경상북도 김천시,3,11,10036,17.5,2024-06-04
1024057,주식회사 푸름인증원,개인,2024-06-04,2026-06-03,사과,경상북도 영양군,1,2,5887,11.8,2024-06-04
1024056,(주)에버그린농우회,개인,2024-06-04,2026-06-03,포도,경상북도 김천시,1,3,4873,8.7,2024-06-04
