"GAP인증번호","인증기관","개인/단체 구분명","유효기간 시작일","유효기간 종료일","품목","주소","등록 농가수","등록 필지수","재배면적","생산계획량","지정일자"
"1026048","주식회사 온누리친환경","개인","2025-05-30","2027-05-29","사과","충청남도 예산군","1","3","4886.6","1.9600000000000002","2025-05-30"
"1026045","주식회사 금강인증센터","개인","2025-05-20","2027-05-19","쪽파","대전광역시 대덕구","1","5","726.0","1.1500000000000001","2025-05-20"
"1026044","농업회사법인(주)대한농업회","법인","2025-05-30","2027-05-29","양파","충청남도 논산시","5","13","47651.0","325.5","2025-05-30"
"1026043","주식회사 금강인증센터","개인","2025-05-30","2027-05-29","샤인마스캇","충청남도 논산시","1","4","4560.0","11.0","2025-05-30"
"1026042","주식회사 온누리친환경","개인","2025-05-30","2027-05-29","육쪽마늘","충청남도 태안군","1","5","2156.0","5.0","2025-05-30"
"1026041","주식회사 예농","개인","2025-05-30","2027-05-29","블루베리","경상남도 진주시","1","3","11280.0","6.0","2025-05-30"
"1026040","강원대학교 산학협력단","단체","2025-05-30","2027-05-29","마늘","강원특별자치도 횡성군","1","3","8048.0","7.0","2025-05-30"
"1026039","(주)온누리지에이피","단체","2025-05-30","2027-05-29","포도","경상북도 영천시","9","18","24219.0","48.199999999999996","2025-05-30"
"1026038","플럼코트맘 주식회사","개인","2025-05-30","2027-05-29","배","전라남도 나주시","1","1","37149.0","98.48","2025-05-30"
"1026037","플럼코트맘 주식회사","개인","2025-05-30","2027-05-29","배","전라남도 나주시","1","2","6723.0","17.82","2025-05-30"
"1026036","건국에코인증원 주식회사","개인","2025-05-30","2027-05-29","체리","충청북도 음성군","1","4","3569.8","5.0","2025-05-30"
"1026035","건국에코인증원 주식회사","개인","2025-05-30","2027-05-29","체리","충청북도 음성군","1","2","2513.0","2.0","2025-05-30"
"1026034","(주)한국농산업연구소","개인","2025-05-30","2027-05-29","블루베리","전라남도 고흥군","1","2","1025.0","0.55","2025-05-30"
"1026033","(주)한국농산업연구소","개인","2025-05-30","2027-05-29","옥수수","전라남도 고흥군","1","4","5540.0","11.9","2025-05-30"
"1026032","주식회사 금강인증센터","개인","2025-05-07","2027-05-06","포도",,"1","3","5198.0","9.0","2025-05-07"
"1026031","주식회사 금강인증센터","개인","2025-05-07","2027-05-06","샤인마스캇",,"1","8","8349.0","11.0","2025-05-07"
"1026030","주식회사 녹색친환경","개인","2025-05-29","2027-05-28","양파","경상남도 김해시","1","6","19223.0","175.0","2025-05-29"
"1026029","주식회사 녹색친환경","개인","2025-05-29","2027-05-28","양파","경상남도 김해시","1","3","10383.0","110.0","2025-05-29"
"1026028","(재)충북테크노파크 한방천연물센터","개인","2025-05-14","2027-05-13","오디","충청북도 제천시","1","1","2864.0","1.4","2025-05-14"
"1026027","㈜비씨에스코리아","개인","2025-05-29","2027-05-28","유럽상추","충청남도 서산시","1","4","1982.0","11.0","2025-05-29"
"1026026","한국농식품분석연구소 주식회사","단체","2025-05-29","2027-05-28","감자","충청남도 예산군","35","95","466551.0","1087.8999999999999","2025-05-29"
"1026025","한국농식품분석연구소 주식회사","개인","2025-05-29","2027-05-28","샤인마스캇","경상남도 밀양시","1","2","5894.0","11.0","2025-05-29"
"1026024","한국농식품분석연구소 주식회사","개인","2025-05-29","2027-05-28","사과","경상남도 밀양시","1","19","19964.0","42.699999999999996","2025-05-29"
"1026023","한국농식품분석연구소 주식회사","개인","2025-05-29","2027-05-28","사과","경상남도 밀양시","1","6","10700.0","23.0","2025-05-29"
"1026022","한국농식품분석연구소 주식회사","개인","2025-05-29","2027-05-28","청상추","충청남도 예산군","1","1","2770.0","20.0","2025-05-29"
"1026021","주식회사 예농","단체","2025-05-28","2027-05-27","단감","경상남도 함안군","6","51","72788.9","227.98000000000002","2025-05-28"
"1026020","(사)한솔농림수산식품인증센터","개인","2025-05-28","2027-05-27","옥수수","제주특별자치도 제주시","1","16","30124.0","70.0","2025-05-28"
"1026018","(사)한솔농림수산식품인증센터","개인","2025-05-28","2027-05-27","당근","제주특별자치도 제주시","1","15","1485.0","7.499999999999999","2025-05-28"
"1026017","(주)에버그린농우회","단체","2025-05-28","2027-05-27","산딸기","경상북도 포항시 남구","12","17","13522.0","6.430000000000001","2025-05-28"
"1026016","(주)에버그린농우회","개인","2025-05-28","2027-05-27","포도","경상북도 상주시","1","1","2909.0","5.0","2025-05-28"
"1026015","(주)에버그린농우회","개인","2025-05-28","2027-05-27","블루베리","경상북도 포항시 남구","1","2","3780.0","1.9","2025-05-28"
"1026014","(주)에버그린농우회","개인","2025-05-28","2027-05-27","무","경상북도 포항시 북구","1","5","737.0","3.8","2025-05-28"
"1026013","지리산인증(주)","개인","2025-05-29","2027-05-28","포도","전북특별자치도 남원시","1","4","6916.0","9.5","2025-05-29"
"1026004","(주)티에스피인증관리원","개인","2025-05-28","2027-05-27","오이",,"1","2","6300.0","144.0","2025-05-28"
"1026003","(주)에이앤에프글로벌인증원","단체","2025-05-27","2027-05-26","복숭아","경상북도 경산시","17","33","38861.0","77.49999999999999","2025-05-27"
"1026002","(주)에이앤에프글로벌인증원","단체","2025-05-27","2027-05-26","포도","경상북도 경산시","14","30","32338.0","65.0","2025-05-27"
"1026001","아이센(주)","개인","2025-05-27","2027-05-26","블루베리","부산광역시 강서구","1","1","3368.0","3.0","2025-05-27"
"1025999","유한회사 빛그린인증원","법인","2025-05-27","2027-05-26","미니밤호박","전라남도 해남군","50","127","164791.5","862.7999999999998","2025-05-27"
"1025998","(재)하동차앤바이오진흥원인증센터","개인","2025-05-27","2027-05-26","산딸기","경상남도 하동군","1","2","848.0","0.7","2025-05-27"
"1025997","유한회사 빛그린인증원","개인","2025-05-27","2027-05-26","체리","전라남도 여수시","1","1","1000.0","0.38","2025-05-27"
"1025996","유한회사 빛그린인증원","개인","2025-05-27","2027-05-26","토마토","전라남도 여수시","1","2","1860.0","11.35","2025-05-27"
"1025995","유한회사 빛그린인증원","단체","2025-05-27","2027-05-26","오디","전북특별자치도 순창군","21","26","24093.0","19.29","2025-05-27"
"1025994","주식회사 푸름인증원","단체","2025-05-29","2027-05-28","배","경상북도 상주시","2","3","31154.0","62.3","2025-05-29"
"1025993","(주)에스에이피분석평가연구소","개인","2025-05-27","2027-05-26","블루베리",,"1","2","2173.0","0.8","2025-05-27"
"1025992","(주)에스에이피분석평가연구소","개인","2025-05-27","2027-05-26","오이",,"1","3","3890.0","10.0","2025-05-27"
"1025991","(재)금산인삼약초산업진흥원","개인","2025-05-27","2027-05-26","깻잎","충청남도 금산군","1","1","3500.0","7.0","2025-05-27"
"1025990","(재)금산인삼약초산업진흥원","개인","2025-05-27","2027-05-26","대추","충청남도 금산군","1","1","1800.0","0.7","2025-05-27"
"1025989","친환경농업연구원 주식회사","개인","2025-05-26","2027-05-25","깻잎","경기도 김포시","1","1","1400.0","2.7","2025-05-26"
"1025988","주식회사 글로벌농식품인증원","단체","2025-05-26","2027-05-25","감자","전북특별자치도 고창군","19","52","139968.0","377.91999999999996","2025-05-26"
"1025987","주식회사 금강인증센터","개인","2025-05-05","2027-05-04","복숭아",,"1","9","8780.0","2.92","2025-05-05"
"1025986","주식회사 경기농업인증센터","개인","2025-05-26","2027-05-25","적근대","경기도 이천시","1","16","40648.0","130.0","2025-05-26"
"1025985","주식회사 경기농업인증센터","개인","2025-05-26","2027-05-25","복숭아","경기도 이천시","1","4","14155.0","26.0","2025-05-26"
"1025984","(주)티에스피인증관리원","개인","2025-05-26","2027-05-25","돌미나리","대전광역시 유성구","1","28","2436.0","9.499999999999998","2025-05-26"
"1025983","주식회사 금강인증센터","개인","2025-05-25","2027-05-24","대파","대전광역시 유성구","1","18","19829.0","23.150000000000002","2025-05-25"
"1025982","(주)에이앤에프글로벌인증원","단체","2025-05-26","2027-05-25","포도","경상북도 김천시","13","24","43225.0","112.5","2025-05-26"
"1025981","(주)에이앤에프글로벌인증원","개인","2025-05-26","2027-05-25","방울토마토","경상북도 고령군","1","2","1870.0","22.4","2025-05-26"
"1025980","(주)에이앤에프글로벌인증원","단체","2025-05-26","2027-05-25","복숭아","경상북도 상주시","14","50","97256.0","194.39999999999998","2025-05-26"
"1025979","주식회사 글로벌농식품인증원","단체","2025-05-23","2027-05-22","자두","경상북도 경산시","7","16","26846.0","34.129999999999995","2025-05-23"
"1025978","유한회사 빛그린인증원","개인","2025-05-23","2027-05-22","감자","전라남도 무안군","1","15","15627.0","33.07","2025-05-23"
"1025977","유한회사 빛그린인증원","개인","2025-05-23","2027-05-22","무화과","전라남도 신안군","1","6","8824.0","17.91","2025-05-23"
"1025976","유한회사 빛그린인증원","개인","2025-05-23","2027-05-22","무화과","전라남도 신안군","1","4","3137.0","6.36","2025-05-23"
"1025975","농업회사법인(주)대한농업회","개인","2025-05-23","2027-05-22","포도","대전광역시 서구","1","1","1654.0","3.0","2025-05-23"
"1025974","농업회사법인(주)대한농업회","개인","2025-05-23","2027-05-22","포도","충청남도 계룡시","1","1","2400.0","1.4","2025-05-23"
"1025973","유한회사 빛그린인증원","법인","2025-05-23","2027-05-22","복숭아","전라남도 보성군","26","65","93558.0","74.80999999999999","2025-05-23"
"1025972","이풀약초협동조합","개인","2025-05-26","2027-05-25","블루베리","충청남도 서산시","1","2","3218.0","2.1","2025-05-26"
"1025971","주식회사 금강인증센터","개인","2025-04-16","2027-04-15","복숭아","충청남도 공주시","1","9","17852.0","8.1","2025-04-16"
"1025970","플럼코트맘 주식회사","개인","2025-05-22","2027-05-21","배","전라남도 나주시","1","6","5061.5","12.15","2025-05-22"
"1025969","지리산인증(주)","개인","2025-05-23","2027-05-22","떫은감","전북특별자치도 임실군","1","8","19535.0","30.0","2025-05-23"
"1025968","(사)한솔농림수산식품인증센터","개인","2025-05-21","2027-05-20","블루베리","제주특별자치도 제주시","1","2","4796.0","5.0","2025-05-21"
"1025967","경상국립대학교 산학협력단","개인","2025-05-21","2027-05-20","블루베리","경상남도 함양군","1","1","3828.0","4.0","2025-05-21"
"1025966","강원대학교 산학협력단","개인","2025-05-21","2027-05-20","방울토마토","강원특별자치도 춘천시","1","2","6288.0","20.0","2025-05-21"
"1025965","강원대학교 산학협력단","개인","2025-05-21","2027-05-20","방울토마토","강원특별자치도 춘천시","1","5","7050.0","59.0","2025-05-21"
"1025964","농업회사법인 주식회사 농품","개인","2025-05-21","2027-05-20","감자","전북특별자치도 김제시","1","1","1100.0","0.2","2025-05-21"
"1025963","농업회사법인 주식회사 농품","개인","2025-05-21","2027-05-20","복분자","전북특별자치도 고창군","1","20","7860.0","11.77","2025-05-21"
"1025962","농업회사법인 주식회사 농품","단체","2025-05-21","2027-05-20","상추","전북특별자치도 익산시","26","70","294680.0","798.5799999999999","2025-05-21"
"1025961","농업회사법인 주식회사 농품","개인","2025-05-21","2027-05-20","콩","전북특별자치도 김제시","1","3","12033.3","8.42","2025-05-21"
"1025960","농업회사법인 주식회사 농품","개인","2025-05-21","2027-05-20","블루베리","전북특별자치도 김제시","1","11","5232.0","10.209999999999999","2025-05-21"
"1025959","(주)티에스피인증관리원","개인","2025-05-21","2027-05-20","풋고추","경상남도 밀양시","1","4","7300.0","35.2","2025-05-21"
"1025958","(주)티에스피인증관리원","개인","2025-05-21","2027-05-20","풋고추","경상남도 밀양시","1","3","3600.0","17.0","2025-05-21"
"1025956","(주)티에스피인증관리원","개인","2025-05-21","2027-05-20","상추","충청남도 당진시","1","11","1700.0","6.3999999999999995","2025-05-21"
"1025955","한국농식품분석연구소 주식회사","개인","2025-05-21","2027-05-20","단감","전라남도 광양시","1","4","47000.0","49.0","2025-05-21"
"1025954","한국농식품분석연구소 주식회사","개인","2025-05-21","2027-05-20","대추","충청남도 부여군","1","3","2050.0","2.0","2025-05-21"
"1025953","한국농식품분석연구소 주식회사","개인","2025-05-21","2027-05-20","대추","충청남도 부여군","1","1","2600.0","1.5","2025-05-21"
"1025952","한국농식품분석연구소 주식회사","개인","2025-05-21","2027-05-20","단감","전라남도 광양시","1","7","16184.0","19.65","2025-05-21"
"1025951","한국농식품분석연구소 주식회사","단체","2025-05-21","2027-05-20","사과","경상남도 밀양시","2","8","10603.0","16.6","2025-05-21"
"1025950","한국농식품분석연구소 주식회사","개인","2025-05-21","2027-05-20","사과","경상남도 밀양시","1","5","3389.0","7.499999999999999","2025-05-21"
"1025949","토지글로닉스 주식회사","단체","2025-05-20","2027-05-19","마늘","전라남도 장흥군","18","92","170499.9","226.32999999999998","2025-05-20"
"1025948","토지글로닉스 주식회사","개인","2025-05-20","2027-05-19","블루베리","광주광역시 북구","1","2","680.0","0.5","2025-05-20"
"1025947","유한회사 빛그린인증원","개인","2025-05-20","2027-05-19","메론","전라남도 영암군","1","8","2480.0","10.600000000000001","2025-05-20"
"1025946","유한회사 빛그린인증원","개인","2025-05-20","2027-05-19","메론","전라남도 영암군","1","16","8880.6","11.52","2025-05-20"
"1025945","유한회사 빛그린인증원","개인","2025-05-20","2027-05-19","복숭아","전라남도 영암군","1","3","2100.0","3.75","2025-05-20"
"1025944","유한회사 빛그린인증원","개인","2025-05-20","2027-05-19","부추","전라남도 나주시","1","9","21084.0","51.05","2025-05-20"
"1025943","(주)농산물품질인증평가원","개인","2025-05-20","2027-05-19","블루베리","경상북도 청도군","1","4","4934.0","9.8","2025-05-20"
"1025942","(주)농산물품질인증평가원","개인","2025-05-20","2027-05-19","포도","경상북도 청도군","1","7","4656.0","9.3","2025-05-20"
"1025941","(주)티에스피인증관리원","단체","2025-05-20","2027-05-19","포도","경상북도 영천시","16","28","44755.0","91.9","2025-05-20"
"1025940","(주)티에스피인증관리원","개인","2025-05-20","2027-05-19","깻잎","충청남도 금산군","1","2","4048.0","8.0","2025-05-20"
"1025939","(주)티에스피인증관리원","개인","2025-05-20","2027-05-19","자두","경상북도 의성군","1","4","2959.0","6.0","2025-05-20"
"1025938","(재)금산인삼약초산업진흥원","개인","2025-05-20","2028-05-19","수삼","충청남도 금산군","1","2","2364.0","1.35","2025-05-20"
"1025937","주식회사 금강인증센터","개인","2025-05-09","2027-05-08","만감","대전광역시 중구","1","3","2266.0","1.15","2025-05-09"
"1025936","(주)인증포럼","단체","2025-05-19","2027-05-18","새싹삼","경기도 파주시","1","8","465.3","2.5","2025-05-19"
"1025935","(주)인증포럼","개인","2025-05-19","2027-05-18","참송이","경기도 가평군","1","2","190.92000000000002","2.5","2025-05-19"
"1025934","주식회사 그린인증원","개인","2025-05-19","2027-05-18","블루베리","전라남도 담양군","1","1","4555.0","7.0","2025-05-19"
"1025933","경상국립대학교 산학협력단","법인","2025-05-19","2027-05-18","애플망고","경상남도 창원시 의창구","1","8","31254.0","23.0","2025-05-19"
"1025932","주식회사 금강인증센터","개인","2025-05-19","2027-05-18","포도","충청남도 논산시","1","6","4231.0","21.0","2025-05-19"
"1025931","농협경제지주(주)식품R&D연구소","개인","2025-05-19","2027-05-18","오이","강원특별자치도 영월군","1","2","2170.0","15.61","2025-05-19"
"1025930","주식회사 금강인증센터","개인","2025-05-01","2027-04-30","유럽상추","충청남도 계룡시","1","3","1980.0","1.5","2025-05-01"
"1025929","주식회사 금강인증센터","개인","2025-05-16","2027-05-15","배","대전광역시 서구","1","1","9900.0","15.0","2025-05-16"
"1025928","주식회사 금강인증센터","개인","2025-05-01","2027-04-30","포도",,"1","2","5840.0","5.0","2025-05-01"
"1025927","주식회사 금강인증센터","개인","2025-05-16","2027-05-15","배","대전광역시 중구","1","6","8470.0","9.5","2025-05-16"
"1025925","(주)에이앤에프글로벌인증원","개인","2025-05-19","2027-05-18","방울토마토",,"1","2","10957.0","43.9","2025-05-19"
"1025924","(주)에이앤에프글로벌인증원","개인","2025-05-19","2027-05-18","옥수수",,"1","7","3462.0","7.0","2025-05-19"
"1025923","(주)에이앤에프글로벌인증원","개인","2025-05-19","2027-05-18","망고",,"1","5","24558.0","129.5","2025-05-19"
"1025922","(주)에이앤에프글로벌인증원","개인","2025-05-19","2027-05-18","사과","강원특별자치도 양구군","1","2","22181.0","44.4","2025-05-19"
"1025921","(주)에이앤에프글로벌인증원","단체","2025-05-19","2027-05-18","사과","경상북도 안동시","2","9","26427.0","79.2","2025-05-19"
"1025920","(주)그린하이인증센터","개인","2025-05-19","2027-05-18","수박","충청북도 음성군","1","2","9027.2","18.0","2025-05-19"
"1025919","(주)농산물품질인증평가원","단체","2025-05-19","2027-05-18","블루베리","경상북도 상주시","37","67","95696.9","191.3","2025-05-19"
"1025918","(주)농산물품질인증평가원","개인","2025-05-19","2027-05-18","블루베리","경상북도 청도군","1","2","4943.0","1.7","2025-05-19"
"1025917","주식회사 금강인증센터","개인","2025-05-18","2027-05-17","포도","충청남도 청양군","1","2","5580.0","20.0","2025-05-18"
"1025916","주식회사 금강인증센터","개인","2025-05-18","2027-05-17","포도","충청남도 청양군","1","1","2511.0","10.0","2025-05-18"
"1025915","주식회사 금강인증센터","개인","2025-05-18","2027-05-17","포도","충청남도 청양군","1","2","3427.0","20.0","2025-05-18"
"1025914","경상국립대학교 산학협력단","개인","2025-05-18","2027-05-17","블루베리","경상남도 산청군","1","2","8303.0","5.0","2025-05-18"
"1025913","주식회사 금강인증센터","개인","2025-05-18","2027-05-17","복숭아",,"1","8","7405.0","3.2799999999999994","2025-05-18"
"1025912","주식회사 금강인증센터","개인","2025-05-18","2027-05-17","블루베리",,"1","1","1330.0","1.0","2025-05-18"
"1025911","아이센(주)","개인","2025-05-16","2027-05-15","단감","경상남도 창녕군","1","2","10560.0","15.5","2025-05-16"
"1025910","주식회사 금강인증센터","개인","2025-05-01","2027-04-30","마늘","충청남도 청양군","9","25","47521.9","24.599999999999998","2025-05-01"
"1025909","주식회사 금강인증센터","개인","2025-05-01","2027-04-30","복숭아","대전광역시 대덕구","1","4","7676.4","16.0","2025-05-01"
"1025908","플럼코트맘 주식회사","개인","2025-05-16","2027-05-15","애호박","충청북도 청주시 흥덕구","1","1","2014.0","5.6","2025-05-16"
"1025907","주식회사 금강인증센터","개인","2025-05-16","2027-05-15","오가피",,"1","26","693.0","1.1500000000000004","2025-05-16"
"1025906","주식회사 글로벌농식품인증원","개인","2025-05-16","2027-05-15","자두","대구광역시 군위군","1","5","8670.0","5000.0","2025-05-16"
"1025905","경상국립대학교 산학협력단","개인","2025-05-15","2027-05-14","블루베리","경상남도 거제시","1","1","1094.0","1.0","2025-05-15"
"1025904","경상국립대학교 산학협력단","개인","2025-05-15","2027-05-14","블루베리","경상남도 산청군","1","2","3229.0","3.0","2025-05-15"
"1025903","(재)금산인삼약초산업진흥원","개인","2025-05-15","2028-05-14","수삼","충청남도 금산군","1","2","1631.0","0.9199999999999999","2025-05-15"
"1025902","(재)금산인삼약초산업진흥원","개인","2025-05-15","2028-05-14","수삼","충청남도 금산군","1","1","1350.0","0.77","2025-05-15"
"1025900","주식회사 글로벌농식품인증원","개인","2025-05-15","2027-05-14","깻잎","충청남도 금산군","1","6","2550.0","6.11","2025-05-15"
"1025899","한국농식품분석연구소 주식회사","개인","2025-05-15","2027-05-14","수박","전북특별자치도 고창군","1","5","11200.0","49.300000000000004","2025-05-15"
"1025898","한국농식품분석연구소 주식회사","개인","2025-05-15","2027-05-14","토마토","경기도 안양시 동안구","1","1","1600.0","12.0","2025-05-15"
"1025897","한국농식품분석연구소 주식회사","개인","2025-05-15","2027-05-14","감자","대전광역시 대덕구","1","30","8300.0","23.100000000000016","2025-05-15"
"1025896","한국농식품분석연구소 주식회사","개인","2025-05-15","2027-05-14","감자","경기도 안산시 상록구","1","27","6320.0","30.7","2025-05-15"
"1025895","한국농식품분석연구소 주식회사","개인","2025-05-15","2027-05-14","대추방울","대전광역시 유성구","1","2","7200.0","32.0","2025-05-15"
"1025894","한국농식품분석연구소 주식회사","단체","2025-05-15","2027-05-14","대추방울","경기도 안산시 상록구","4","12","20350.0","129.3","2025-05-15"
"1025893","한국농식품분석연구소 주식회사","개인","2025-05-15","2027-05-14","고사리","경기도 동두천시","1","5","12350.0","3.2","2025-05-15"
"1025892","주식회사 농식품인증관리원","개인","2025-05-14","2027-05-13","복숭아","경기도 파주시","1","2","1600.0","2.5","2025-05-14"
"1025891","경상국립대학교 산학협력단","개인","2025-05-14","2027-05-13","블루베리","경상남도 산청군","1","2","2824.0","2.0","2025-05-14"
"1025890","경상국립대학교 산학협력단","개인","2025-05-14","2027-05-13","단감","경상남도 진주시","1","2","4514.0","11.0","2025-05-14"
"1025889","(주)티에스피인증관리원","개인","2025-05-14","2027-05-13","복숭아","경상북도 청도군","1","2","4153.0","3.68","2025-05-14"
"1025888","주식회사 금강인증센터","개인","2025-05-13","2027-05-12","샤인마스캇",,"1","3","2600.0","10.0","2025-05-13"
"1025887","(사)한솔농림수산식품인증센터","개인","2025-05-13","2027-05-12","표고버섯","제주특별자치도 제주시","1","3","8538.0","27.0","2025-05-13"
"1025886","주식회사 글로벌농식품인증원","개인","2025-05-13","2027-05-12","수박","충청북도 음성군","1","9","30934.0","131.54000000000002","2025-05-13"
"1025885","주식회사 글로벌농식품인증원","개인","2025-05-13","2027-05-12","복숭아","충청북도 옥천군","1","1","1100.0","1.7","2025-05-13"
"1025884","(주)티에스피인증관리원","개인","2025-05-13","2027-05-12","블루베리","경기도 평택시","1","1","4561.0","2.3","2025-05-13"
"1025883","(주)티에스피인증관리원","개인","2025-05-13","2027-05-12","블루베리","경기도 평택시","1","2","2121.0","1.07","2025-05-13"
"1025882","(주)티에스피인증관리원","개인","2025-05-13","2027-05-12","쪽파","충청북도 청주시 상당구","2","28","5458.0","8.759999999999998","2025-05-13"
"1025881","(사)한솔농림수산식품인증센터","개인","2025-05-13","2027-05-12","무화과","제주특별자치도 제주시","1","8","1291.0","0.37","2025-05-13"
"1025880","주식회사 금강인증센터","개인","2025-04-15","2027-04-14","블루베리","대전광역시 유성구","1","4","1150.0","0.78","2025-04-15"
"1025879","주식회사 금강인증센터","개인","2025-04-25","2027-04-24","머루포도",,"1","1","883.0","0.13","2025-04-25"
"1025878","주식회사 금강인증센터","단체","2025-05-09","2027-05-08","마늘","충청남도 예산군","13","25","42051.0","41.1","2025-05-09"
"1025877","주식회사 금강인증센터","개인","2025-05-01","2027-04-30","샤인마스캇",,"1","3","3620.0","5.0","2025-05-01"
"1025876","주식회사 금강인증센터","개인","2025-05-01","2027-04-30","포도",,"1","3","3147.0","2.0","2025-05-01"
"1025875","(주)온누리지에이피","개인","2025-05-13","2027-05-12","자두","경상북도 경산시","1","1","1545.0","7.5","2025-05-13"
"1025874","(주)우리농인증원","개인","2025-05-12","2027-05-11","사과","경상남도 거창군","1","2","7298.0","14.6","2025-05-12"
"1025873","주식회사 푸름인증원","개인","2025-05-13","2027-05-12","배","경상북도 영덕군","1","3","7922.9","30.1","2025-05-13"
"1025871","강원대학교 산학협력단","개인","2025-05-12","2027-05-11","대추방울","강원특별자치도 화천군","1","5","2632.0","9.0","2025-05-12"
"1025870","주식회사 글로벌농식품인증원","법인","2025-05-12","2027-05-11","벼","전북특별자치도 부안군","3","14","67088.3","35.0","2025-05-12"
"1025869","주식회사 금강인증센터","개인","2025-04-28","2027-04-27","대추","충청북도 보은군","1","1","536.0","0.5","2025-04-28"
"1025868","주식회사 금강인증센터","개인","2025-05-01","2027-04-30","포도",,"1","2","5467.0","11.0","2025-05-01"
